country_code,year,gdp_usd
USA,1990,24165.00
IDN,1990,1497.00
BRA,1990,3064.00
DEU,1990,17625.00
ITA,1990,12255.00
CHN,1990,4303.00
GBR,1990,16007.00
FRA,1990,15008.00
KOR,1990,12048.00
BGD,1990,861.00
AUS,1990,20792.00
IND,1990,775.00
JPN,1990,13528.00
NGA,1990,709.00
PAK,1990,516.00
USA,1991,25011.00
IDN,1991,1550.00
BRA,1991,3171.00
DEU,1991,18241.00
ITA,1991,12684.00
CHN,1991,4453.00
GBR,1991,16567.00
FRA,1991,15534.00
KOR,1991,12470.00
BGD,1991,891.00
AUS,1991,21519.00
IND,1991,802.00
JPN,1991,14002.00
NGA,1991,734.00
PAK,1991,534.00
CHN,1992,4609.00
GBR,1992,17147.00
FRA,1992,16077.00
KOR,1992,12906.00
BGD,1992,922.00
AUS,1992,22272.00
IND,1992,830.00
JPN,1992,14492.00
NGA,1992,760.00
PAK,1992,553.00
USA,1992,25886.00
IDN,1992,1604.00
BRA,1992,3282.00
DEU,1992,18880.00
ITA,1992,13127.00
IND,1993,859.00
JPN,1993,14999.00
NGA,1993,786.00
PAK,1993,572.00
USA,1993,26792.00
IDN,1993,1660.00
BRA,1993,3397.00
DEU,1993,19541.00
ITA,1993,13587.00
CHN,1993,4771.00
GBR,1993,17747.00
FRA,1993,16640.00
KOR,1993,13358.00
BGD,1993,954.00
AUS,1993,23052.00
USA,1994,27730.00
IDN,1994,1718.00
BRA,1994,3516.00
DEU,1994,20225.00
ITA,1994,14062.00
CHN,1994,4938.00
GBR,1994,18368.00
FRA,1994,17223.00
KOR,1994,13825.00
BGD,1994,988.00
AUS,1994,23859.00
IND,1994,889.00
JPN,1994,15524.00
NGA,1994,814.00
PAK,1994,593.00
USA,1995,28700.00
IDN,1995,1778.00
BRA,1995,3639.00
DEU,1995,20932.00
ITA,1995,14555.00
CHN,1995,5110.00
GBR,1995,19011.00
FRA,1995,17825.00
KOR,1995,14309.00
BGD,1995,1022.00
AUS,1995,24694.00
IND,1995,920.00
JPN,1995,16067.00
NGA,1995,842.00
PAK,1995,613.00
CHN,1996,5289.00
GBR,1996,19676.00
FRA,1996,18449.00
KOR,1996,14810.00
BGD,1996,1058.00
AUS,1996,25558.00
IND,1996,952.00
JPN,1996,16630.00
NGA,1996,872.00
PAK,1996,635.00
USA,1996,29705.00
IDN,1996,1841.00
BRA,1996,3766.00
DEU,1996,21665.00
ITA,1996,15064.00
BRA,1997,3898.00
DEU,1997,22423.00
ITA,1997,15591.00
CHN,1997,5474.00
GBR,1997,20365.00
FRA,1997,19095.00
KOR,1997,15328.00
BGD,1997,1095.00
AUS,1997,26453.00
IND,1997,985.00
JPN,1997,17212.00
NGA,1997,902.00
PAK,1997,657.00
USA,1997,30745.00
IDN,1997,1905.00
FRA,1998,19763.00
KOR,1998,15865.00
BGD,1998,1133.00
AUS,1998,27378.00
IND,1998,1020.00
JPN,1998,17814.00
NGA,1998,934.00
PAK,1998,680.00
USA,1998,31821.00
IDN,1998,1972.00
BRA,1998,4034.00
DEU,1998,23208.00
ITA,1998,16137.00
CHN,1998,5666.00
GBR,1998,21078.00
BRA,1999,4175.00
DEU,1999,24021.00
ITA,1999,16702.00
CHN,1999,5864.00
GBR,1999,21816.00
FRA,1999,20455.00
KOR,1999,16420.00
BGD,1999,1173.00
AUS,1999,28337.00
IND,1999,1056.00
JPN,1999,18438.00
NGA,1999,966.00
PAK,1999,704.00
USA,1999,32934.00
IDN,1999,2041.00
USA,2000,34087.00
IDN,2000,2112.00
BRA,2000,4322.00
DEU,2000,24861.00
ITA,2000,17286.00
CHN,2000,6070.00
GBR,2000,22579.00
FRA,2000,21171.00
KOR,2000,16995.00
BGD,2000,1214.00
AUS,2000,29328.00
IND,2000,1093.00
JPN,2000,19083.00
NGA,2000,1000.00
PAK,2000,728.00
GBR,2001,23369.00
FRA,2001,21912.00
KOR,2001,17590.00
BGD,2001,1256.00
AUS,2001,30355.00
IND,2001,1131.00
JPN,2001,19751.00
NGA,2001,1035.00
PAK,2001,754.00
USA,2001,35280.00
IDN,2001,2186.00
BRA,2001,4473.00
DEU,2001,25731.00
ITA,2001,17891.00
CHN,2001,6282.00
DEU,2002,26632.00
ITA,2002,18518.00
CHN,2002,6502.00
GBR,2002,24187.00
FRA,2002,22679.00
KOR,2002,18205.00
BGD,2002,1300.00
AUS,2002,31417.00
IND,2002,1170.00
JPN,2002,20442.00
NGA,2002,1072.00
PAK,2002,780.00
USA,2002,36515.00
IDN,2002,2263.00
BRA,2002,4629.00
IND,2003,1211.00
JPN,2003,21158.00
NGA,2003,1109.00
PAK,2003,808.00
USA,2003,37793.00
IDN,2003,2342.00
BRA,2003,4791.00
DEU,2003,27564.00
ITA,2003,19166.00
CHN,2003,6730.00
GBR,2003,25034.00
FRA,2003,23473.00
KOR,2003,18843.00
BGD,2003,1346.00
AUS,2003,32517.00
USA,2004,39116.00
IDN,2004,2424.00
BRA,2004,4959.00
DEU,2004,28529.00
ITA,2004,19836.00
CHN,2004,6965.00
GBR,2004,25910.00
FRA,2004,24294.00
KOR,2004,19502.00
BGD,2004,1393.00
AUS,2004,33655.00
IND,2004,1254.00
JPN,2004,21898.00
NGA,2004,1148.00
PAK,2004,836.00
CHN,2005,7209.00
GBR,2005,26817.00
FRA,2005,25144.00
KOR,2005,20185.00
BGD,2005,1442.00
AUS,2005,34833.00
IND,2005,1298.00
JPN,2005,22665.00
NGA,2005,1188.00
PAK,2005,865.00
USA,2005,40485.00
IDN,2005,2509.00
BRA,2005,5133.00
DEU,2005,29527.00
ITA,2005,20531.00
USA,2006,41902.00
IDN,2006,2596.00
BRA,2006,5312.00
DEU,2006,30561.00
ITA,2006,21249.00
CHN,2006,7461.00
GBR,2006,27755.00
FRA,2006,26024.00
KOR,2006,20891.00
BGD,2006,1492.00
AUS,2006,36052.00
