country_code,country_name,region,year,sex,age_group,measure,value,lower,upper,unit,source
IND,India,Asia,1990,Both,60+,Prevalence,7.40,6.29,8.73,Percent,GBD 2021
CHN,China,Asia,1990,Both,60+,Prevalence,7.20,6.12,8.50,Percent,GBD 2021
USA,United States,Americas,1990,Both,60+,Prevalence,8.40,7.14,9.91,Percent,GBD 2021
JPN,Japan,Asia,1990,Both,60+,Prevalence,10.20,8.67,12.04,Percent,GBD 2021
IDN,Indonesia,Asia,1990,Both,60+,Prevalence,6.10,5.19,7.20,Percent,GBD 2021
BRA,Brazil,Americas,1990,Both,60+,Prevalence,7.80,6.63,9.20,Percent,GBD 2021
NGA,Nigeria,Africa,1990,Both,60+,Prevalence,4.90,4.17,5.78,Percent,GBD 2021
DEU,Germany,Europe,1990,Both,60+,Prevalence,8.90,7.57,10.50,Percent,GBD 2021
GBR,United Kingdom,Europe,1990,Both,60+,Prevalence,8.50,7.23,10.03,Percent,GBD 2021
FRA,France,Europe,1990,Both,60+,Prevalence,8.60,7.31,10.15,Percent,GBD 2021
ITA,Italy,Europe,1990,Both,60+,Prevalence,9.10,7.74,10.74,Percent,GBD 2021
KOR,South Korea,Asia,1990,Both,60+,Prevalence,7.90,6.72,9.32,Percent,GBD 2021
PAK,Pakistan,Asia,1990,Both,60+,Prevalence,5.80,4.93,6.84,Percent,GBD 2021
BGD,Bangladesh,Asia,1990,Both,60+,Prevalence,5.60,4.76,6.61,Percent,GBD 2021
AUS,Australia,Oceania,1990,Both,60+,Prevalence,8.30,7.06,9.79,Percent,GBD 2021
IND,India,Asia,1991,Both,60+,Prevalence,7.45,6.33,8.79,Percent,GBD 2021
CHN,China,Asia,1991,Both,60+,Prevalence,7.25,6.16,8.56,Percent,GBD 2021
USA,United States,Americas,1991,Both,60+,Prevalence,8.46,7.19,9.98,Percent,GBD 2021
JPN,Japan,Asia,1991,Both,60+,Prevalence,10.27,8.73,12.12,Percent,GBD 2021
IDN,Indonesia,Asia,1991,Both,60+,Prevalence,6.14,5.22,7.25,Percent,GBD 2021
BRA,Brazil,Americas,1991,Both,60+,Prevalence,7.85,6.67,9.26,Percent,GBD 2021
NGA,Nigeria,Africa,1991,Both,60+,Prevalence,4.93,4.19,5.82,Percent,GBD 2021
DEU,Germany,Europe,1991,Both,60+,Prevalence,8.96,7.62,10.57,Percent,GBD 2021
GBR,United Kingdom,Europe,1991,Both,60+,Prevalence,8.56,7.28,10.10,Percent,GBD 2021
FRA,France,Europe,1991,Both,60+,Prevalence,8.66,7.36,10.22,Percent,GBD 2021
ITA,Italy,Europe,1991,Both,60+,Prevalence,9.16,7.79,10.81,Percent,GBD 2021
KOR,South Korea,Asia,1991,Both,60+,Prevalence,7.96,6.77,9.39,Percent,GBD 2021
PAK,Pakistan,Asia,1991,Both,60+,Prevalence,5.84,4.96,6.89,Percent,GBD 2021
BGD,Bangladesh,Asia,1991,Both,60+,Prevalence,5.64,4.79,6.66,Percent,GBD 2021
AUS,Australia,Oceania,1991,Both,60+,Prevalence,8.36,7.11,9.86,Percent,GBD 2021
IND,India,Asia,1992,Both,60+,Prevalence,7.50,6.38,8.85,Percent,GBD 2021
CHN,China,Asia,1992,Both,60+,Prevalence,7.30,6.21,8.61,Percent,GBD 2021
USA,United States,Americas,1992,Both,60+,Prevalence,8.52,7.24,10.05,Percent,GBD 2021
JPN,Japan,Asia,1992,Both,60+,Prevalence,10.34,8.79,12.20,Percent,GBD 2021
IDN,Indonesia,Asia,1992,Both,60+,Prevalence,6.19,5.26,7.30,Percent,GBD 2021
BRA,Brazil,Americas,1992,Both,60+,Prevalence,7.91,6.72,9.33,Percent,GBD 2021
NGA,Nigeria,Africa,1992,Both,60+,Prevalence,4.97,4.22,5.86,Percent,GBD 2021
DEU,Germany,Europe,1992,Both,60+,Prevalence,9.02,7.67,10.64,Percent,GBD 2021
GBR,United Kingdom,Europe,1992,Both,60+,Prevalence,8.62,7.33,10.17,Percent,GBD 2021
