indicator_code,country_code,year,value_text,value_numeric
GDO_PLAN_STATUS,IND,2021,In development,0.50
GDO_PLAN_STATUS,CHN,2021,Yes,1.00
GDO_PLAN_STATUS,USA,2021,Yes,1.00
GDO_PLAN_STATUS,JPN,2021,Yes,1.00
GDO_PLAN_STATUS,IDN,2021,Yes,1.00
GDO_PLAN_STATUS,BRA,2021,In development,0.50
GDO_PLAN_STATUS,NGA,2021,No,0.00
GDO_PLAN_STATUS,DEU,2021,Yes,1.00
GDO_PLAN_STATUS,GBR,2021,Yes,1.00
GDO_PLAN_STATUS,FRA,2021,Yes,1.00
GDO_PLAN_STATUS,ITA,2021,Yes,1.00
GDO_PLAN_STATUS,KOR,2021,Yes,1.00
GDO_PLAN_STATUS,PAK,2021,No,0.00
GDO_PLAN_STATUS,BGD,2021,No,0.00
GDO_PLAN_STATUS,AUS,2021,Yes,1.00
