state_code,state_name,sex,urban,age_group,education,prevalence_pct,lower,upper,est_cases,population
IN-JK,Jammu and Kashmir,Both,All,60+,All,11.00,9.02,13.42,132000,1200000
IN-JK,Jammu and Kashmir,Both,All,60+,None,15.40,12.63,18.79,36960,240000
IN-JK,Jammu and Kashmir,Both,All,60+,Primary,11.55,9.47,14.09,27720,240000
IN-JK,Jammu and Kashmir,Both,All,60+,Middle,8.80,7.22,10.74,21120,240000
IN-JK,Jammu and Kashmir,Both,All,60+,Secondary,6.60,5.41,8.05,15840,240000
IN-JK,Jammu and Kashmir,Both,All,60+,Higher,4.95,4.06,6.04,11880,240000
IN-JK,Jammu and Kashmir,Both,All,60-64,All,4.95,4.06,6.04,10692,216000
IN-JK,Jammu and Kashmir,Both,All,60-64,None,6.93,5.68,8.45,2993,43200
IN-JK,Jammu and Kashmir,Both,All,60-64,Primary,5.20,4.26,6.34,2246,43200
IN-JK,Jammu and Kashmir,Both,All,60-64,Middle,3.96,3.25,4.83,1710,43200
IN-JK,Jammu and Kashmir,Both,All,60-64,Secondary,2.97,2.44,3.62,1283,43200
IN-JK,Jammu and Kashmir,Both,All,60-64,Higher,2.23,1.83,2.72,963,43200
IN-JK,Jammu and Kashmir,Both,All,65-69,All,8.25,6.77,10.07,17820,216000
IN-JK,Jammu and Kashmir,Both,All,65-69,None,11.55,9.47,14.09,4989,43200
IN-JK,Jammu and Kashmir,Both,All,65-69,Primary,8.66,7.10,10.57,3741,43200
IN-JK,Jammu and Kashmir,Both,All,65-69,Middle,6.60,5.41,8.05,2851,43200
IN-JK,Jammu and Kashmir,Both,All,65-69,Secondary,4.95,4.06,6.04,2138,43200
IN-JK,Jammu and Kashmir,Both,All,65-69,Higher,3.71,3.04,4.53,1602,43200
IN-JK,Jammu and Kashmir,Both,All,70-74,All,12.65,10.37,15.43,27324,216000
IN-JK,Jammu and Kashmir,Both,All,70-74,None,17.71,14.52,21.61,7650,43200
IN-JK,Jammu and Kashmir,Both,All,70-74,Primary,13.28,10.89,16.20,5736,43200
IN-JK,Jammu and Kashmir,Both,All,70-74,Middle,10.12,8.30,12.35,4371,43200
IN-JK,Jammu and Kashmir,Both,All,70-74,Secondary,7.59,6.22,9.26,3278,43200
IN-JK,Jammu and Kashmir,Both,All,70-74,Higher,5.69,4.67,6.94,2458,43200
IN-JK,Jammu and Kashmir,Both,All,75-79,All,18.70,15.33,22.81,40392,216000
IN-JK,Jammu and Kashmir,Both,All,75-79,None,26.18,21.47,31.94,11309,43200
IN-JK,Jammu and Kashmir,Both,All,75-79,Primary,19.63,16.10,23.95,8480,43200
IN-JK,Jammu and Kashmir,Both,All,75-79,Middle,14.96,12.27,18.25,6462,43200
