country_code,country_name,year,cases,lower,upper,source
IND,India,2019,8800000,7480000,10384000,Lancet Public Health 2022 / GBD 2021
IND,India,2030,11500000,9775000,13570000,Lancet Public Health 2022 / GBD 2021
IND,India,2040,14200000,12070000,16756000,Lancet Public Health 2022 / GBD 2021
IND,India,2050,17600000,14960000,20768000,Lancet Public Health 2022 / GBD 2021
CHN,China,2019,15300000,13005000,18054000,Lancet Public Health 2022 / GBD 2021
CHN,China,2030,21800000,18530000,25724000,Lancet Public Health 2022 / GBD 2021
CHN,China,2040,29400000,24990000,34692000,Lancet Public Health 2022 / GBD 2021
CHN,China,2050,39600000,33660000,46728000,Lancet Public Health 2022 / GBD 2021
USA,United States,2019,5800000,4930000,6844000,Lancet Public Health 2022 / GBD 2021
USA,United States,2030,7200000,6120000,8496000,Lancet Public Health 2022 / GBD 2021
USA,United States,2040,8900000,7565000,10502000,Lancet Public Health 2022 / GBD 2021
USA,United States,2050,10500000,8925000,12390000,Lancet Public Health 2022 / GBD 2021
JPN,Japan,2019,4400000,3740000,5192000,Lancet Public Health 2022 / GBD 2021
JPN,Japan,2030,5200000,4420000,6136000,Lancet Public Health 2022 / GBD 2021
JPN,Japan,2040,5700000,4845000,6726000,Lancet Public Health 2022 / GBD 2021
JPN,Japan,2050,6200000,5270000,7316000,Lancet Public Health 2022 / GBD 2021
IDN,Indonesia,2019,1200000,1020000,1416000,Lancet Public Health 2022 / GBD 2021
IDN,Indonesia,2030,1850000,1572500,2183000,Lancet Public Health 2022 / GBD 2021
IDN,Indonesia,2040,2750000,2337500,3245000,Lancet Public Health 2022 / GBD 2021
IDN,Indonesia,2050,3980000,3383000,4696400,Lancet Public Health 2022 / GBD 2021
BRA,Brazil,2019,1650000,1402500,1947000,Lancet Public Health 2022 / GBD 2021
BRA,Brazil,2030,2500000,2125000,2950000,Lancet Public Health 2022 / GBD 2021
BRA,Brazil,2040,3700000,3145000,4366000,Lancet Public Health 2022 / GBD 2021
BRA,Brazil,2050,5100000,4335000,6018000,Lancet Public Health 2022 / GBD 2021
NGA,Nigeria,2019,640000,544000,755200,Lancet Public Health 2022 / GBD 2021
NGA,Nigeria,2030,1100000,935000,1298000,Lancet Public Health 2022 / GBD 2021
NGA,Nigeria,2040,1900000,1615000,2242000,Lancet Public Health 2022 / GBD 2021
NGA,Nigeria,2050,3100000,2635000,3658000,Lancet Public Health 2022 / GBD 2021
DEU,Germany,2019,1600000,1360000,1888000,Lancet Public Health 2022 / GBD 2021
DEU,Germany,2030,1950000,1657500,2301000,Lancet Public Health 2022 / GBD 2021
DEU,Germany,2040,2300000,1955000,2714000,Lancet Public Health 2022 / GBD 2021
DEU,Germany,2050,2700000,2295000,3186000,Lancet Public Health 2022 / GBD 2021
GBR,United Kingdom,2019,920000,782000,1085600,Lancet Public Health 2022 / GBD 2021
GBR,United Kingdom,2030,1150000,977500,1357000,Lancet Public Health 2022 / GBD 2021
GBR,United Kingdom,2040,1400000,1190000,1652000,Lancet Public Health 2022 / GBD 2021
GBR,United Kingdom,2050,1700000,1445000,2006000,Lancet Public Health 2022 / GBD 2021
FRA,France,2019,1250000,1062500,1475000,Lancet Public Health 2022 / GBD 2021
FRA,France,2030,1550000,1317500,1829000,Lancet Public Health 2022 / GBD 2021
FRA,France,2040,1850000,1572500,2183000,Lancet Public Health 2022 / GBD 2021
FRA,France,2050,2200000,1870000,2596000,Lancet Public Health 2022 / GBD 2021
ITA,Italy,2019,1300000,1105000,1534000,Lancet Public Health 2022 / GBD 2021
ITA,Italy,2030,1580000,1343000,1864400,Lancet Public Health 2022 / GBD 2021
ITA,Italy,2040,1850000,1572500,2183000,Lancet Public Health 2022 / GBD 2021
ITA,Italy,2050,2150000,1827500,2537000,Lancet Public Health 2022 / GBD 2021
KOR,South Korea,2019,800000,680000,944000,Lancet Public Health 2022 / GBD 2021
KOR,South Korea,2030,1300000,1105000,1534000,Lancet Public Health 2022 / GBD 2021
KOR,South Korea,2040,1900000,1615000,2242000,Lancet Public Health 2022 / GBD 2021
KOR,South Korea,2050,2650000,2252500,3127000,Lancet Public Health 2022 / GBD 2021
PAK,Pakistan,2019,980000,833000,1156400,Lancet Public Health 2022 / GBD 2021
PAK,Pakistan,2030,1700000,1445000,2006000,Lancet Public Health 2022 / GBD 2021
PAK,Pakistan,2040,2900000,2465000,3422000,Lancet Public Health 2022 / GBD 2021
PAK,Pakistan,2050,4800000,4080000,5664000,Lancet Public Health 2022 / GBD 2021
BGD,Bangladesh,2019,750000,637500,885000,Lancet Public Health 2022 / GBD 2021
BGD,Bangladesh,2030,1300000,1105000,1534000,Lancet Public Health 2022 / GBD 2021
BGD,Bangladesh,2040,2150000,1827500,2537000,Lancet Public Health 2022 / GBD 2021
BGD,Bangladesh,2050,3450000,2932500,4071000,Lancet Public Health 2022 / GBD 2021
AUS,Australia,2019,450000,382500,531000,Lancet Public Health 2022 / GBD 2021
AUS,Australia,2030,620000,527000,731600,Lancet Public Health 2022 / GBD 2021
AUS,Australia,2040,800000,680000,944000,Lancet Public Health 2022 / GBD 2021
AUS,Australia,2050,1050000,892500,1239000,Lancet Public Health 2022 / GBD 2021
